x1,x2,y
0.54318,0.92556,6
0.57345,0.8714,6
0.5645,0.88241,6
0.55457,0.90535,6
0.57126,0.8676,6
0.56274,0.88497,6
0.56728,0.87872,6
0.57883,0.85155,4.1
0.55335,0.90388,4.1
0.53708,0.93863,4.1
0.57134,0.87296,4.1
0.54415,0.91962,4.1
0.56249,0.88831,4.1
0.56248,0.88544,4.1
0.55617,0.8963,4.3
0.55784,0.89601,4.3
0.55911,0.88924,4.3
0.55573,0.9017,4.3
0.57146,0.8676,4.1
0.56383,0.87985,4.1
0.56907,0.87434,4.1
0.56007,0.88751,4.1
0.56547,0.87241,4.1
0.55576,0.89432,4.1
0.56642,0.87828,4.1
0.56971,0.86688,4.1
0.57301,0.86529,4.1
0.56645,0.87683,4.1
0.5621,0.88307,4.1
0.56413,0.88097,4.1
0.5744,0.86149,4.1
0.55497,0.90186,4.1
0.56744,0.87169,4.2
0.56393,0.88211,4.2
0.56703,0.87396,4.2
0.56359,0.87984,4.2
0.56066,0.88438,4.2
0.57298,0.85765,4.2
0.55785,0.89382,4.3
0.56343,0.88225,4.3
0.5564,0.89942,4.1
0.55905,0.88297,4.1
0.54824,0.91668,3.9
0.70036,0.59974,4.1
0.56435,0.88143,4.3
0.5609,0.88784,4.3
0.59107,0.82075,4.3
0.56793,0.86933,4.3
0.55276,0.9038,4.3
0.5782,0.84989,4.3
0.56167,0.88632,4.3
0.55247,0.90347,4.3
0.5598,0.88674,4.3
0.54879,0.90766,4.3
0.55302,0.90146,4.3
0.54332,0.92499,4.3
0.53501,0.93721,4.3
0.56421,0.88359,5.9
0.54536,0.92337,5.9
0.55112,0.90607,6.1
0.55562,0.90229,6.1
0.5557,0.89948,6.1
0.55079,0.90742,6.2
0.54836,0.91255,6.2
0.55556,0.89681,6.2
0.55978,0.89033,6.2
0.556,0.9037,6
0.55023,0.90825,6
0.53901,0.92636,6
0.54285,0.92173,6
0.56496,0.88102,6
0.55426,0.90072,6
0.55767,0.89337,6
0.54417,0.92503,6
0.56871,0.8715,6
0.54154,0.93029,6
0.57478,0.86045,5.9
0.56074,0.88246,5.9
0.55747,0.8939,4.5
0.55009,0.91173,4.5
0.5451,0.91939,5.8
0.54703,0.91347,5.8
0.55312,0.90574,5.9
0.55706,0.89572,5.9
0.56331,0.87768,5.9
0.56779,0.86902,5.9
0.53923,0.93782,5.9
0.5436,0.92455,5.9
0.53526,0.93501,4.5
0.54751,0.91519,4.5
0.55227,0.90401,5.8
0.54005,0.92633,5.8
0.5622,0.88685,4.5
0.56359,0.88092,4.5
0.55519,0.90017,4.5
0.56417,0.88069,4.5
0.56503,0.87752,4.5
0.57015,0.87341,4.5
0.55646,0.89984,4.5
0.55658,0.90394,4.5
0.53837,0.93901,4.5
0.55418,0.90093,4.5
0.55096,0.9108,4.5
0.56635,0.88034,4.5
0.5495,0.9137,4.5
0.56485,0.88002,4.5
0.55294,0.90347,4.4
0.56161,0.8877,4.4
0.57033,0.86812,4.4
0.55288,0.90183,4.4
0.56465,0.87897,4.4
0.56737,0.87544,4.4
0.56958,0.87147,4.4
0.56926,0.87346,4.4
0.56494,0.8788,4.4
0.56408,0.8825,4.4
0.56234,0.88383,4.4
0.58057,0.84516,4.4
0.56948,0.87362,4.4
0.55538,0.90354,4.4
0.56269,0.88796,4.4
0.56773,0.87533,4.4
0.56414,0.88288,4.4
0.55568,0.90297,4.3
0.56647,0.87887,4.3
0.56828,0.87383,4.4
0.57191,0.86259,4.4
0.56831,0.87458,4.4
0.57281,0.86518,4.4
0.55127,0.90865,4.4
0.56436,0.88235,4.4
0.55973,0.89108,4.4
0.57506,0.86092,4.4
0.57466,0.86126,4.4
0.5671,0.87265,4.4
0.57036,0.86255,4.4
0.56596,0.87865,4.4
0.5715,0.86364,4.3
0.57299,0.86591,4.3
0.57418,0.86107,4.3
0.5852,0.84084,4.3
