含杂粒数,含杂面积,能量,熵,惯性矩,平稳性,回潮率
19,1.52,0.61397,0.76773,0.16675,0.91729,4.3
20,1.56,0.61356,0.76726,0.17496,0.91458,4.3
15,1.55,0.62619,0.74124,0.16746,0.91690,4.2
22,1.65,0.63016,0.73909,0.16258,0.91926,4.2
23,1.55,0.62164,0.75189,0.16850,0.91678,4.3
29,1.53,0.62346,0.75156,0.16725,0.91735,4.3
30,1.75,0.61255,0.77162,0.17080,0.91545,4.3
27,1.96,0.61937,0.76088,0.16945,0.91589,4.2
38,2.03,0.58706,0.82269,0.18170,0.91008,4.2
47,2.24,0.63295,0.74265,0.16920,0.91775,4.2
39,2.13,0.59771,0.80348,0.17991,0.91134,4.2
25,1.93,0.61190,0.77439,0.17100,0.91503,3.5
23,1.84,0.61659,0.76239,0.17560,0.91304,3.5
35,1.76,0.64040,0.72103,0.16574,0.91825,3.5
31,1.83,0.61295,0.77308,0.17320,0.91438,3.5
30,1.97,0.63924,0.72000,0.16774,0.91733,4.1
30,1.88,0.62993,0.73807,0.16701,0.91755,4.1
29,1.72,0.63528,0.73000,0.16761,0.91723,4.1
43,1.94,0.61042,0.77900,0.17466,0.91426,4.1
31,1.63,0.64422,0.71212,0.16414,0.91911,4.1
37,1.88,0.59472,0.80928,0.17859,0.91172,4.1
22,1.62,0.61579,0.76353,0.17270,0.91439,4.1
34,1.7,0.62182,0.75659,0.16956,0.91598,4.4
21,1.51,0.63746,0.72472,0.16232,0.91950,4.4
37,1.93,0.63626,0.72632,0.16458,0.91907,4.4
45,1.82,0.63477,0.73055,0.16583,0.91830,4.4
32,1.58,0.62896,0.73779,0.17163,0.91506,3.8
21,1.73,0.64523,0.71274,0.16000,0.92085,3.8
38,1.87,0.63127,0.73995,0.17068,0.91677,3.8
26,1.8,0.62985,0.74111,0.16576,0.91794,3.8
33,1.79,0.61103,0.77955,0.17716,0.91347,3.8
41,1.71,0.63267,0.73599,0.16994,0.91664,3.8
29,1.67,0.62705,0.74285,0.17105,0.91548,3.7
20,1.84,0.61196,0.77394,0.17279,0.91424,3.7
46,1.98,0.64248,0.71872,0.16919,0.91718,3.7
37,1.69,0.63126,0.73391,0.16893,0.91681,3.7
29,1.56,0.63536,0.73153,0.16299,0.91940,3.7
31,1.77,0.60223,0.79059,0.17759,0.91255,3.7
60,2.31,0.60917,0.78446,0.17933,0.91295,3.7
26,1.67,0.62323,0.74914,0.16972,0.91586,3.7
48,2.01,0.61141,0.77414,0.17543,0.91368,3.7
37,1.97,0.63660,0.72725,0.16545,0.91834,3.7
29,1.84,0.60957,0.77901,0.17369,0.91399,3.7
58,1.89,0.62473,0.75472,0.16761,0.91769,3.7
32,1.81,0.62878,0.73957,0.16844,0.91705,4.2
37,1.84,0.60843,0.77830,0.17662,0.91310,4.2
26,1.77,0.62057,0.75534,0.16995,0.91604,3.9
36,1.69,0.63561,0.73039,0.16297,0.91929,3.5
27,1.84,0.63559,0.72799,0.16443,0.91914,3.5
48,1.77,0.60840,0.78088,0.17864,0.91195,3.5
42,2.04,0.60784,0.78530,0.17779,0.91264,3.5
25,1.67,0.65094,0.70078,0.15867,0.92180,3.5
20,1.79,0.60547,0.78584,0.16735,0.91689,3.5
26,1.87,0.63122,0.74206,0.16327,0.91964,3.5
32,1.8,0.61187,0.77347,0.16809,0.91650,3.5
25,1.56,0.63728,0.72564,0.16404,0.91890,3.5
50,1.98,0.60732,0.78564,0.17993,0.91209,4.1
29,1.77,0.62245,0.75284,0.17389,0.91434,4.1
43,1.82,0.63636,0.73071,0.16774,0.91833,4.1
28,1.57,0.63960,0.71906,0.16435,0.91884,4.1
29,1.75,0.61108,0.77669,0.17277,0.91438,4.1
45,1.83,0.60787,0.78336,0.17413,0.91455,4.1
35,1.75,0.62356,0.75458,0.16985,0.91639,4.1
26,1.64,0.63633,0.72828,0.16371,0.91892,3.5
36,1.68,0.62127,0.75803,0.17083,0.91558,3.5
30,1.73,0.61637,0.76968,0.17008,0.91617,3.5
16,1.77,0.60447,0.78685,0.17142,0.91485,3.5
